age,annual_income,education_level,city_type,daily_commute_km,weekly_travel_distance_km,current_vehicle_type,vehicle_age_years,fuel_expense_per_month,charging_station_accessibility,nearest_charging_station_km,home_charging_available,electricity_cost_per_kwh,environmental_awareness_score,government_incentive_awareness,technology_affinity_score,range_anxiety_score,battery_replacement_concern,ev_knowledge_score,previous_ev_experience,ev_adoption_likelihood,monthly_energy_consumption_kwh,monthly_charging_cost,Potential_Monthly_Savings,Adoption_Sort_Order
32,86553,High School,Urban,41.7,220.3,Hatchback,5.4,330.6,5.8,6.4,0,0.27,7.6,7.8,8.4,3.1,5.6,8.8,0,High,149.5,40.1,290.5,3
57,20054,High School,Suburban,16.7,120.5,Sedan,7.9,50,1,9.7,0,0.11,8.1,5.2,8.7,5.7,7,8.5,0,Medium,98.1,10.5,39.5,2
36,64910,Master,Urban,22.9,148.7,Sedan,0,263.4,6.4,6.2,0,0.12,8.2,7.2,7.6,5.8,7.7,7.5,1,High,134.6,16,247.39999999999998,3
24,33549,Bachelor,Suburban,13.9,89.5,SUV,2.9,149.9,3.6,2.5,0,0.19,9.3,9.2,9.8,5.9,5.9,10,0,High,80.1,15.2,134.70000000000002,3
64,30497,PhD,Suburban,5,29.8,Sedan,8.5,-0.7,,6.1,1,0.27,8.2,8.9,7.1,3.3,3.6,7.5,0,High,22.3,6,-6.7,3
56,36914,PhD,Suburban,58.8,388.8,Sedan,7.7,533.1,6.5,15.9,1,0.33,6.9,5.9,7.8,3.4,4.4,7.7,0,High,396.2,131.5,401.6,3
26,46292,Bachelor,Suburban,53.6,388.3,Truck,10.8,474,3.7,15.4,0,0.14,6.7,4.3,8.5,2.2,3.1,7.9,0,High,241.6,32.7,441.3,3
21,40102,Bachelor,Suburban,28.6,218.3,SUV,7.9,295.1,3.1,12.7,0,0.08,9,8.1,8.3,2.9,1.5,7.5,1,High,164.1,13.8,281.3,3
24,21092,Bachelor,Rural,55,402,Sedan,6.4,442.9,2.7,7.6,1,0.17,6.1,1.7,6.4,9.7,9.1,4.5,0,Low,273.1,47,395.9,1
39,44305,Master,Urban,31.5,190.2,Sedan,11,359.6,8.6,1.9,0,0.17,6.1,4.7,6.9,6.4,4.5,8.5,0,High,127.3,21.5,338.1,3
34,43948,Bachelor,Urban,23.4,149.3,Hatchback,7.7,208.8,10,7.5,0,0.2,10,2.8,7.1,4.8,5.4,7.8,0,High,110.5,22.2,186.60000000000002,3
23,43946,Bachelor,Suburban,29.7,200.8,Hatchback,12.3,305.4,1,14.3,0,0.32,9.6,3.2,8.8,4.7,6.2,7.1,1,Medium,121.5,39.2,266.2,2
44,36202,Master,Urban,5,32.9,SUV,7.2,38.6,7.5,4.1,0,0.13,9.7,7.1,5.4,4.4,5.4,9.6,0,High,30.7,3.9,34.7,3
46,44121,Master,Urban,7.9,51.7,Truck,8.6,-0.8,5.5,0.5,1,0.23,8,7.3,7.7,2.5,3,10,0,High,33.5,7.6,-8.4,3
55,37054,High School,Suburban,57.6,387.1,Hatchback,7,467.2,4,8.3,0,0.3,8.7,6.6,10,2.8,9.2,10,0,High,369,110.7,356.5,3
45,19183,Bachelor,Urban,5,33,Sedan,6.7,-19.2,3.3,0.5,1,0.27,4.5,9.4,6,7.5,4.9,6.1,0,Medium,21.9,5.8,-25,2
67,58647,Master,Urban,62.6,387.7,Hatchback,4.7,503.9,8.9,6.9,1,0.27,9,2.7,7.3,4.1,5.6,7.1,1,High,330.7,88.4,415.5,3
45,37316,Bachelor,Suburban,34.2,231.6,Sedan,4.2,339.1,3.7,8,0,0.31,3.8,3.5,5.3,7.5,2.8,5.1,0,Low,213.5,65.4,273.70000000000005,1
58,72412,Bachelor,Urban,54.8,395.1,SUV,5.2,400,6.5,1.9,1,0.19,6.5,5.5,8.2,5.5,6.4,9.2,0,High,350.6,67.7,332.3,3
33,43493,Bachelor,Urban,32.5,240.7,Sedan,12.8,250.3,9.2,1.4,1,0.16,10,6.5,8.5,4.4,8.6,,0,High,224.1,35.7,214.60000000000002,3
54,47711,Bachelor,Urban,31.7,173.2,Hatchback,5.7,267.3,5.6,0.5,1,0.09,9,6.2,7.8,5.6,4.7,8.9,0,High,111.7,9.5,257.8,3
41,57267,Bachelor,Urban,41.7,219.2,SUV,8.1,368.6,9.7,6.8,1,0.25,9.7,8,6.6,4,4,7.8,1,High,164.5,40.9,327.70000000000005,3
37,78815,Master,Suburban,29.6,227.3,Hatchback,4.9,246.2,5.6,3.2,1,0.15,5.9,6.3,9.9,5.1,4.6,7.9,0,High,163.5,24.5,221.7,3
43,31200,High School,Urban,43.3,250.6,Sedan,3.3,397.3,6.8,12.2,1,0.31,8.2,8.8,9,5.3,4,6.7,1,High,170.7,52.3,345,3
54,54721,Bachelor,Rural,53.1,287.1,SUV,6.9,377.4,5.6,8.9,1,0.34,9.7,6.7,9.2,4.4,2.9,7.3,0,High,223.8,75.6,301.79999999999995,3
50,20376,High School,Urban,69.5,413.4,Hatchback,6.7,662,8.4,8.1,1,0.28,4.3,6.1,4.2,4,5,4.5,0,Medium,258,71.1,590.9,2
27,30989,High School,Suburban,27,159,Truck,9.4,223.4,4.1,13.5,1,0.09,8,3.2,5.7,5.9,6,5.8,0,Medium,100.2,9,214.4,2
62,82743,Master,Urban,37.9,242.3,Truck,7.9,311.9,7,0.8,1,0.15,8.6,4.4,7.5,4.7,4.6,8.4,0,High,146.2,22.4,289.5,3
66,39858,High School,Urban,28.2,174.2,Sedan,7.7,175.7,8.7,3.8,1,0.28,6.6,5.7,5.4,6.4,3.7,5.5,1,High,113.9,32,143.7,3
67,50699,High School,Suburban,33.4,227.1,SUV,6.3,212.5,5.3,10,1,0.21,9.8,8.8,9.5,5.2,6.4,9.5,0,High,163.4,33.5,179,3
35,25991,High School,Suburban,32.2,165.6,SUV,8.7,271.8,8.7,13.3,1,0.31,7.7,6.3,5.9,6.4,8.5,6.4,0,High,111.1,34.8,237,3
51,47047,Master,Urban,25.6,153.5,Hatchback,7.1,198.9,7.1,8.1,0,0.16,8.4,6.4,8.5,4.9,5.1,7.1,0,High,128,20.2,178.70000000000002,3
35,56010,Master,Urban,29,226.4,Hatchback,5.4,227.2,6.3,3.7,1,0.17,7.2,5,9.9,3.4,5.3,8.9,0,High,138.4,24,203.2,3
49,87795,Master,Urban,34,257.2,SUV,4.4,320.8,7.9,5.3,0,0.12,9.4,2.3,6.8,2.8,3.9,9.2,0,High,177,20.4,300.40000000000003,3
45,63020,Master,Suburban,60.8,444.7,Hatchback,7.9,564,5.4,12.8,1,0.21,6.9,4.6,9.1,2.6,8.6,7.9,0,Medium,379,79.6,484.4,2
38,29223,Bachelor,Suburban,49.9,293.4,Hatchback,7.1,438.6,5,7.7,0,0.15,8.9,10,5,2.2,5,7.5,0,High,217.8,31.7,406.90000000000003,3
22,23776,PhD,Urban,24.8,175.4,Hatchback,6.3,197.1,7.4,6.5,1,0.25,3.2,6.7,3.3,7,4.7,3.4,0,Medium,151.7,37.3,159.8,2
61,37261,High School,Urban,64.6,463.8,SUV,5.1,629.6,3.9,7.2,1,0.28,6,5.6,6.1,7.4,7.1,6.6,0,Low,295.5,83,546.6,1
41,21891,Master,Suburban,13.8,86.7,Sedan,1.3,196.2,4.8,17.1,1,0.32,4,2.7,6.4,5.9,3.9,6,0,Medium,75.5,24.4,171.79999999999998,2
64,23151,Bachelor,Suburban,40.9,255.4,Sedan,3.3,338.3,8.2,3.4,1,0.26,6.9,6.5,6.7,4.7,3.6,5.9,1,High,154.7,40.1,298.2,3
34,15562,Bachelor,Urban,58.2,407.8,Sedan,12.6,438.4,4.4,0.5,1,0.18,4.9,9,4.7,7.5,5.4,4.4,1,High,343.4,60.5,377.9,3
57,22907,Master,Urban,28.2,184.1,Sedan,6.4,255.3,6.7,7.3,1,0.21,3.3,4.3,5.6,6.1,5.8,3.5,0,Medium,187.6,39.8,215.5,2
46,46653,Bachelor,Urban,63.7,365.2,Hatchback,7.1,555.4,7.4,2,1,0.24,9.5,7.7,7.5,4.8,8.6,7.5,0,High,269.8,65.3,490.09999999999997,3
24,43003,Bachelor,Rural,27.4,199.5,Hatchback,9.9,219.6,5.2,5.9,0,0.17,5.4,3.4,9.3,5.1,1.7,6.5,0,High,140.5,23.6,196,3
46,91218,PhD,Rural,50.1,388.3,Hatchback,1.1,428.1,1,7.9,1,0.28,9.2,6.4,6.9,3.1,8.6,7.8,1,High,245.6,69.2,358.90000000000003,3
34,15143,Bachelor,Urban,58,339.3,Sedan,6.5,542.6,8.8,0.5,1,0.15,2.8,4,3.9,6.8,4.6,3.9,0,Low,280.9,43.2,499.40000000000003,1
27,31704,Master,Urban,20.9,137.8,Sedan,13.6,192.4,8.2,7.6,0,0.18,5,6.4,6.9,5.9,5.5,4.3,0,Medium,126.3,22.4,170,2
25,81995,High School,Suburban,43.5,330.5,Sedan,9.7,430.7,1.9,11.1,1,0.24,8.1,6.6,8.3,3.7,5,8.6,0,High,259.8,62.5,368.2,3
53,37332,Bachelor,Urban,59.4,362.5,Sedan,2.9,582.4,8,6.9,0,0.25,5.1,7.3,4.2,4.3,1.9,3.6,0,High,247.9,62.7,519.6999999999999,3
42,32865,Bachelor,Rural,15.1,83.2,Hatchback,6.5,69.9,4.8,6.4,1,0.17,10,8.2,8.3,3.3,6.2,8.1,1,High,83.2,14.5,55.400000000000006,3
53,27934,Bachelor,Suburban,53.4,292.6,Sedan,5.1,432.3,2.7,3.8,0,0.14,6.1,8.6,3.4,8.8,5.1,4.9,1,Low,196.5,28.4,403.90000000000003,1
58,114102,Master,Urban,63.4,484,Hatchback,7.7,556.5,6,2.1,1,0.13,6.6,3.9,9,3.6,7.6,7.8,1,High,318.9,40.5,516,3
23,48411,PhD,Rural,47.3,330.8,Sedan,8.9,261.5,4.8,9.7,1,0.11,7.4,7.3,9.5,2.7,5.3,8.1,1,High,199.2,22.5,239,3
45,30867,High School,Rural,53.8,278.6,Hatchback,4.2,440.2,4.2,10.7,1,0.35,7.5,6.9,8.7,2.8,7.4,9.1,0,High,218.7,76.4,363.79999999999995,3
34,56874,High School,Urban,49.8,393.3,Sedan,5.3,376.8,7.8,8.5,1,0.13,6.8,2.9,8.1,3.7,7.1,7.9,0,High,247.7,32.5,344.3,3
46,34366,High School,Rural,23.6,135,Hatchback,7.3,246.2,4.4,14.1,1,0.12,8.6,6.6,8.5,3.1,3.5,8.3,1,High,96,11.1,235.1,3
37,48573,High School,Suburban,54.7,298,Hatchback,12,464.7,4.3,10.7,0,0.08,6.5,3.3,8.9,2.9,3.1,8.9,0,High,203.1,16.9,447.8,3
52,67038,Bachelor,Rural,24.4,179.1,Sedan,5.4,200.1,4.9,12.3,1,0.17,9.1,5.9,7.8,2.1,2.9,8.4,1,High,148,24.7,175.4,3
45,32597,High School,Urban,21.4,166.4,Hatchback,5,179.4,8.5,1.6,0,0.23,4.4,3.5,5.1,6.2,6.2,3.5,0,Low,123.1,27.9,151.5,1
47,56798,PhD,Suburban,9.2,50.4,Sedan,10.4,57.8,6.3,15.7,0,0.12,7.9,6.3,8.2,4.7,3.3,7.9,0,High,42.4,5.1,52.699999999999996,3
54,64188,High School,Suburban,40.1,288.9,SUV,4.5,292.6,5.6,15.8,0,0.29,6.1,3.1,8.4,5.5,2.8,6.8,1,Medium,297.7,85,207.60000000000002,2
41,95176,High School,Urban,29,147.6,Sedan,4.8,196.4,9,2,1,0.28,9.8,5.6,7.4,3.2,4.4,8.3,0,High,126.9,34.9,161.5,3
51,19992,Master,Suburban,40.8,249.6,Sedan,3.4,373.9,3.8,9.3,1,0.29,6.8,4.2,6.2,7.9,7.1,7,0,Low,169.4,48.6,325.29999999999995,1
50,33574,Master,Urban,14.3,94.1,Sedan,9.1,112.7,6.3,4.6,1,0.2,7.9,3.8,4.5,6.8,4.9,6.4,0,Medium,74.3,15.1,97.60000000000001,2
44,23368,Bachelor,Urban,42,245.8,Sedan,8.7,325.4,6.9,4,1,0.31,6.4,4.6,4.4,7,4,6.5,0,High,181.3,55.9,269.5,3
68,45460,Master,Urban,31.4,196.7,Sedan,8.4,214,7.6,0.5,1,0.34,7.9,2.8,9.1,2.5,7.3,7.8,1,High,165.9,56.8,157.2,3
26,23207,Master,Urban,37.3,202.2,Hatchback,5.4,307.5,6.8,7.5,1,0.16,6.5,5.4,5.2,5.4,5.4,5.9,0,Medium,165,26.1,281.4,2
60,42797,Master,Rural,51,388.1,Sedan,7,427,4.9,7.1,1,0.23,9.5,4.1,8,2.1,5,9.8,0,High,363.1,81.9,345.1,3
41,25471,Bachelor,Suburban,13.4,75,Hatchback,0,155.3,2.5,10.9,1,0.18,3.1,10,5.2,8.3,5.4,4.1,0,Low,71.6,12.8,142.5,1
50,26117,Bachelor,Urban,52.1,398.6,SUV,9.6,541.5,8.2,4.3,0,0.28,10,6.7,6.9,2.4,4.4,8.6,0,High,293.9,81.5,460,3
48,24768,Bachelor,Urban,54.6,291.4,Sedan,4.2,524.2,7.5,4.7,0,0.25,4.8,9.9,5,9.1,1.8,5.7,1,High,207.3,50.9,473.30000000000007,3
26,49235,Master,Urban,39.5,296.4,Sedan,10.1,372,3.1,3.5,0,0.09,7.3,8.1,7,4.7,2.4,7.9,0,High,211.6,18.8,353.2,3
56,31858,Bachelor,Urban,63.5,396.1,Hatchback,4.9,532.7,6.2,2.7,1,0.11,2.4,7.1,3.8,7.8,6.8,4.1,0,Medium,329.2,37.7,495.00000000000006,2
29,16503,High School,Suburban,31.1,183.4,SUV,2.8,218.3,6.9,16.8,1,0.13,4.5,5.8,4.2,5.1,4.7,4.4,0,Medium,176,22.9,195.4,2
65,33059,Bachelor,Urban,44.6,345.1,SUV,4.8,339.5,6.3,1.6,1,0.2,7.3,7.2,6.6,6.3,7.4,,0,High,324.5,65,274.5,3
58,17011,High School,Urban,21,128,SUV,5.3,94,7.9,0.5,0,0.14,3.9,5.6,5.9,7.1,5,6,0,Medium,105.3,14.3,79.7,2
59,37047,Bachelor,Urban,45.1,316.7,Sedan,8.3,375.1,6.3,0.5,1,0.32,8.2,3.6,7.5,2.3,6.7,6.6,0,High,320.5,102,273.1,3
24,41121,Bachelor,Suburban,43,262.8,Sedan,10.6,341.8,6,9.3,1,0.26,4.2,8.4,6.6,5,1.5,5.6,1,High,240,63.2,278.6,3
21,37893,High School,Urban,36.6,283.2,Hatchback,5.5,248.3,9.1,1.7,1,0.1,6,8.2,8.3,3.2,5.3,5.7,0,High,225.3,22.7,225.60000000000002,3
56,22482,Bachelor,Suburban,38.5,251.5,Sedan,4.8,328.4,5.5,1.5,1,0.08,7.4,8.5,3,6.9,4,4.4,1,High,208.8,17.1,311.29999999999995,3
50,104539,High School,Suburban,65.5,517.2,SUV,2.7,536,1.4,8.6,1,0.11,5.4,5.8,8.3,5.9,5.5,7.1,1,High,530.2,59,477,3
57,38038,Bachelor,Suburban,41.7,229.6,Sedan,4.7,391.2,6.1,13.4,0,0.22,8.8,3.8,6.4,3.6,6.5,7.7,0,High,195.8,42.5,348.7,3
38,27716,Bachelor,Suburban,29.6,203.3,Sedan,4.6,244.7,10,4,0,0.34,2.8,6.5,5.1,8.9,5.9,5.1,0,Low,191.5,65.2,179.5,1
39,45881,Bachelor,Urban,48.1,349.4,SUV,5.7,327,10,6.8,1,0.24,9.5,5.6,9.8,2.6,6.3,10,0,High,276.9,67.5,259.5,3
65,49627,Bachelor,Rural,40.7,312.8,Sedan,5.6,382.3,9.7,10.8,1,0.09,5.9,9.9,7,4.2,4.5,7.4,0,High,228.5,19.5,362.8,3
39,29338,High School,Rural,47.9,252.6,Sedan,5.6,388.4,3.8,10.8,0,0.33,8.4,6.9,8.8,2,6,9,0,High,195.4,65.1,323.29999999999995,3
34,43684,Master,Rural,18.1,94.4,Truck,0.3,160.5,5,6.7,1,0.27,4.1,2.8,4.9,6.2,3.5,3.7,1,Low,94.5,25.6,134.9,1
33,23407,Bachelor,Urban,44.5,309,Sedan,6,414,10,0.5,1,0.1,5.4,3.8,3.9,8.2,6.6,5.5,1,Medium,259.4,25.8,388.2,2
38,32735,Master,Suburban,27.4,159.1,SUV,8.1,267.1,6.8,10.8,1,0.21,4.4,7,5,6.4,4.7,4.5,0,Medium,155.1,32,235.10000000000002,2
43,10511,Bachelor,Urban,17.2,118.4,Hatchback,8.9,193.6,7.2,3.8,0,0.11,7.7,7.2,5.7,5.6,7.4,6.6,1,High,96.8,10.5,183.1,3
61,13085,High School,Suburban,31.9,199,Hatchback,8.8,254.6,6.7,15.2,1,0.28,4.8,5.8,4.5,5.3,4.1,4.8,0,Medium,169.4,48,206.6,2
67,62654,Master,Urban,30.3,186.2,Sedan,5.3,149.3,8.6,0.5,1,0.08,9.3,7.1,9.3,4.2,4.9,10,0,High,174.1,14.4,134.9,3
50,61037,Bachelor,Urban,35.3,222.6,Sedan,9.7,263.5,8.3,0.5,1,0.23,5.5,7.2,8,5.1,9,7.1,0,High,213.4,49.8,213.7,3
49,20461,High School,Suburban,25,181.1,SUV,6.1,219.3,2.5,7.5,0,0.12,4.6,8.6,6.7,6.8,6.1,4.5,1,Medium,158.6,18.7,200.60000000000002,2
67,22359,High School,Suburban,47.7,337.5,Truck,1.3,400.3,4.8,7.8,0,0.29,8.7,6.9,8.7,2.9,4.7,8.8,1,High,313.6,89.5,310.8,3
65,24709,High School,Rural,15.3,121.4,Hatchback,4.7,152,1.8,11.8,1,0.24,5.8,6.4,6.5,7.4,3.7,6.6,0,Medium,81.6,19.6,132.4,2
44,16635,Master,Rural,47.5,323.2,Hatchback,4.4,449.5,7.7,10.9,0,0.3,6.2,6.1,5.7,5.8,2.4,5.3,0,High,250.5,74.7,374.8,3
40,48845,Master,Rural,44.2,347.3,SUV,9.6,347.8,5.8,3.7,1,0.26,7.1,4.6,9,4.5,3.8,6.5,0,High,214.4,55.2,292.6,3
41,50878,Bachelor,Suburban,45.3,264.9,SUV,5.4,417.3,4.7,16,1,0.14,9.8,3.5,8.7,3.7,5.7,10,0,High,167.6,22.7,394.6,3
56,60142,Bachelor,Suburban,45.6,317.9,Sedan,6.3,425.5,3.9,3.3,0,0.11,7.6,7.4,9.4,5.3,1,7.8,0,High,222.8,25.5,400,3
50,78570,Bachelor,Suburban,17.8,132.4,Sedan,8.4,139.2,3.8,15.7,1,0.26,9,6.2,9.5,3.7,3.4,8.4,0,High,112.9,29.2,109.99999999999999,3
21,12895,Master,Urban,46.9,371.3,SUV,4.9,378.8,6.2,6.8,0,0.09,4.9,5.3,5,6.4,4.1,4,0,Medium,345.6,32.5,346.3,2
52,57163,Master,Urban,5,25.4,Hatchback,5.8,60.2,8.5,0.5,1,0.23,5.2,9.6,5.4,6,5.1,5.1,1,High,21.3,4.8,55.400000000000006,3
57,31590,High School,Urban,22.1,172.2,Hatchback,6.1,189.4,5.7,1,0,0.09,8.6,3.5,8.5,4,4.1,9.2,0,High,168.7,14.4,175,3
22,22216,High School,Urban,15.8,125.8,Hatchback,4.3,146.6,8.3,5.6,1,0.35,4.3,6.8,5,6.7,4.7,5.1,0,Medium,105.3,36.6,110,2
27,14256,Bachelor,Urban,38.6,248.9,Sedan,8.8,272.7,7.2,4.6,0,0.1,4.3,5.8,2.8,8.1,5.4,3.8,0,Low,219.2,22,250.7,1
56,60216,High School,Urban,17.8,98.2,Sedan,12.5,110.2,4.1,8.7,0,0.25,9.4,7.2,7.4,2.9,4.7,9.1,0,High,89.7,22.4,87.80000000000001,3
55,21321,Master,Urban,45.5,337.4,Hatchback,6.2,435.8,7.5,0.5,1,0.27,6.7,7.2,5.5,7,2.7,5.1,0,Medium,289.8,78,357.8,2
33,16461,Master,Urban,18,117.9,Sedan,4.8,210.2,8.2,0.7,0,0.31,7.5,8,5.1,6,4.5,7.4,0,High,98.1,30.8,179.39999999999998,3
33,51094,Bachelor,Suburban,55.9,289.2,SUV,4.5,527.7,2.5,13.3,0,0.12,8,7.6,9.4,4.4,5.7,9.2,0,High,210,25.9,501.80000000000007,3
44,42184,Master,Urban,10.1,78.2,Truck,2.6,30.3,8.4,3,1,0.11,9.1,8.1,6.4,3.1,1,6.3,1,High,69.9,7.5,22.8,3
57,60479,Bachelor,Suburban,44.1,271.4,SUV,10.8,351.8,5.2,14.5,1,0.16,6.8,1.9,9.2,2.6,6.1,9.6,1,High,177.6,28.4,323.40000000000003,3
67,20147,Bachelor,Urban,38.1,215.8,Truck,9.1,403.9,3.8,0.5,1,0.27,4.8,4.3,4.9,4.7,6.1,2.3,1,Medium,188.5,50.5,353.4,2
46,30513,Bachelor,Urban,21.2,155,Hatchback,7.6,231.8,7.8,6.5,1,0.32,3.6,7.5,4.3,5.7,3.1,4.3,0,Medium,143.5,45.8,186,2
49,23542,High School,Rural,40.1,306.3,SUV,5.4,308.5,4.4,13.8,1,0.34,3.6,6.4,4.1,7.7,3.9,3.7,1,Low,241.5,82.4,226.1,1
24,11492,Bachelor,Suburban,44.3,308.7,Hatchback,5.4,456.5,5.5,16.1,0,0.29,2.9,8.8,3.4,7.5,5.8,3.9,0,Low,204.5,58.7,397.8,1
49,52122,High School,Urban,45.5,309.9,SUV,7.6,398.4,10,4,0,0.19,4.7,4.4,4.6,7.6,8,3.4,0,Low,301.4,57.9,340.5,1
46,78534,Bachelor,Rural,47.9,301.5,SUV,12.6,423.7,3.4,12.9,1,0.3,7.2,2.5,9.2,2.5,4.4,9.2,0,High,282.2,85.5,338.2,3
53,58393,Bachelor,Urban,34.6,199.8,Sedan,5,310.2,5.9,3.3,1,0.17,8.1,7.3,9.5,5,4.4,8.4,0,High,126.1,21.1,289.09999999999997,3
35,81041,Bachelor,Urban,44.2,348.3,Hatchback,5.1,415.1,4.9,7.5,0,0.22,9.4,2.5,10,3,1.9,9,0,High,319.5,69.7,345.40000000000003,3
54,32647,Bachelor,Suburban,18.9,106.6,Truck,7.9,194.3,3.8,10.5,1,0.26,6.3,3.9,6.6,5.5,8,8.4,0,Medium,93.9,24.6,169.70000000000002,2
42,49121,Bachelor,Suburban,19.7,154.3,Sedan,5.5,114.5,8.8,8.1,1,0.25,9.2,8.4,5.7,4.1,5.6,6.8,0,High,99.2,25.1,89.4,3
36,25542,Bachelor,Suburban,37.7,245,Truck,3,376.1,5.5,10.8,0,0.13,4.9,7.4,6.7,6.5,3,7.5,1,High,229.2,30.8,345.3,3
49,43129,High School,Urban,6,31.1,Sedan,5.5,-11.9,6,1.9,0,0.12,7.6,5.9,9,5.6,6,9.2,0,High,22.7,2.7,-14.6,3
57,33165,High School,Rural,26.3,192.8,Sedan,8.6,280.9,4.8,5.1,1,0.16,8.7,6.2,7.7,2.2,4.8,8.5,0,High,175.3,28.4,252.49999999999997,3
37,22633,Master,Urban,27.4,181.4,Hatchback,2.4,210.5,10,2.7,1,0.21,8.7,5.2,7.2,5,7.1,7.7,0,High,144.6,30.4,180.1,3
46,43404,Master,Urban,30.5,241.3,Truck,3.4,294.7,7.5,2.1,1,0.19,8.8,6.4,8.4,4.3,6.7,10,0,High,226.8,43,251.7,3
61,74542,Bachelor,Suburban,21.8,143.4,SUV,8,238.1,3.8,10.5,1,0.14,9.1,6.8,6.4,5,1.7,7.1,0,High,144.8,20.7,217.4,3
48,32225,Master,Urban,37.7,243.8,SUV,4.4,372.4,6.2,4.5,0,0.14,5.1,6.3,4.4,6,1,5.5,0,Medium,199.3,26.9,345.5,2
55,61239,Master,Urban,27.3,164.1,SUV,6.4,232.9,8.8,9.2,0,0.09,7.8,9.8,9.5,2.6,6.7,8.9,1,High,157.7,15,217.9,3
69,13715,High School,Urban,19.1,97.4,Truck,7.5,168.6,8.4,0.5,1,0.17,5,6.7,3.7,6.4,6.1,3.4,1,Medium,59.1,9.8,158.79999999999998,2
60,42210,Bachelor,Rural,57.1,300.7,Truck,7,480.7,4.8,12.8,0,0.12,8,7.6,4.9,5.4,3,5.6,0,Medium,299.1,37.2,443.5,2
23,66551,Master,Urban,45.9,230.3,Sedan,3.2,455.3,8.9,2.1,1,0.33,7.1,8.3,7.5,3.2,2.8,6.5,0,High,172.5,56.2,399.1,3
35,30172,Bachelor,Urban,60.7,324.7,SUV,5.2,538.4,8.7,8,1,0.3,4.4,9.8,5,6.5,6.6,4.5,0,Medium,197,59.4,479,2
65,46104,Bachelor,Urban,36.4,279.8,Hatchback,8.7,366.4,6.3,4.9,1,0.29,7.3,6.8,8.9,2.5,8.2,7.7,0,High,172.3,50.5,315.9,3
42,36781,High School,Suburban,28.7,165.3,SUV,9.2,222.3,4.8,15.3,1,0.18,5.5,4.8,8.1,4.1,7.1,5.2,1,Low,115.2,20.5,201.8,1
55,51135,High School,Suburban,41.9,219.3,SUV,7.9,358.1,2.8,6.7,1,0.25,8.8,7.1,6.8,2.9,4.6,7.4,0,High,180.3,44.6,313.5,3
